pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
GEPY29563,6,0,1977,LAKSHMINARAYANAN M.R.,Tamil_Nadu,TINDIVANAM,INC,INC,233155,M,1,3,2,FALSE,TRUE,53.82,49485,11.42,,2,3
GEPY29563,5,0,1971,M .R. LAKSHMINARAYANAN,Tamil_Nadu,TINDIVANAM,INC,"",212309,M,1,3,2,FALSE,FALSE,55.92,61475,16.19,,2,3
GEPY29564,7,0,1980,P. DEVARAJ,Puducherry,PONDICHERRY,JNP(S),"",17067,M,3,1,0,FALSE,FALSE,6.89,0,0,,,1
GEPY32624,7,0,1980,P. SHANMUGAM,Puducherry,PONDICHERRY,INC(I),"",164589,M,1,1,1,FALSE,FALSE,66.45,98564,39.79,,1,1
GERJ118,7,0,1980,BHIM SINGH,Rajasthan,JHUNJHUNU,JNP,"",143448,M,1,1,1,FALSE,FALSE,33.38,7892,1.84,,1,1
GERJ17192,7,0,1980,BRIJRAJ SINGH,Rajasthan,JHALAWAR,INC(I),INC,156077,M,2,5,3,FALSE,FALSE,45.02,132301,38.16,,3,5
GERJ17192,6,0,1977,BRIJ RAJ SINGH,Rajasthan,JHALAWAR,INC,BJS,98203,M,2,5,3,TRUE,TRUE,29.94,0,0,,3,5
GERJ17192,5,0,1971,BRIJ RAJ SINGH,Rajasthan,JHALAWAR,BJS,BJS,186694,M,1,5,3,FALSE,TRUE,66.1,90945,32.2,,3,5
GERJ17192,4,0,1967,B. SINGH,Rajasthan,JHALAWAR,BJS,INC,143882,M,1,5,3,TRUE,TRUE,63.09,81233,35.62,,3,5
GERJ17192,3,0,1962,BRIJ RAJ SINGH,Rajasthan,JHALAWAR,INC,"",130887,M,1,5,3,FALSE,FALSE,68.07,86992,45.24,,3,5
GERJ18063,7,1,1982,B.R.LAHARI,Rajasthan,BAYANA(SC),IND,"",45750,"",2,1,0,FALSE,FALSE,24.53,23149,12.41,,,1
GERJ18068,7,1,1982,R.L.MAHAMANA,Rajasthan,BAYANA(SC),BJP,"",22601,"",3,1,0,FALSE,FALSE,12.12,16680,8.94,,,1
