pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Mandates,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,MyNeta_age,Terms,Terms_Contested
GEUP13194,17,0,2019,Kamlesh Paswan,Uttar_Pradesh,BANSGAON,BJP,BJP,546673,M,1,3,3,FALSE,TRUE,56.41,153468,15.84,42,3,3
GEUP13194,16,0,2014,KAMLESH PASWAN,Uttar_Pradesh,BANSGAON,BJP,BJP,417959,M,1,2,2,FALSE,TRUE,47.61,189516,21.59,38,3,3
GEUP13194,15,0,2009,KAMLESH PASWAN,Uttar_Pradesh,BANSGAON,BJP,"",223011,M,1,1,1,FALSE,FALSE,34.35,52787,8.13,,3,3
GEUP13213,17,0,2019,Neelam Sonker,Uttar_Pradesh,LALGANJ,BJP,BJP,357223,F,2,3,1,FALSE,TRUE,37.19,339296,35.32,43,1,3
GEUP13213,16,0,2014,NEELAM SONKAR,Uttar_Pradesh,LALGANJ,BJP,BJP,324016,F,1,2,1,FALSE,FALSE,36.06,63086,7.02,38,1,3
GEUP13213,15,0,2009,NEELAM SONKAR,Uttar_Pradesh,LALGANJ,BJP,"",168050,F,2,1,0,FALSE,FALSE,25.52,20868,3.17,33,1,3
GEUP13257,17,0,2019,MULAYAM SINGH YADAV,Uttar_Pradesh,MAINPURI,SP,SP,524926,M,1,9,9,FALSE,TRUE,53.75,94389,9.67,79,7,7
GEUP13257,16,0,2014,MULAYAM SINGH YADAV,Uttar_Pradesh,MAINPURI,SP,SP,595918,M,1,7,7,FALSE,TRUE,59.64,364666,36.49,74,7,7
GEUP13257,16,0,2014,MULAYAM SINGH YADAV,Uttar_Pradesh,AZAMGARH,SP,SP,340306,M,1,8,8,FALSE,TRUE,35.44,63204,6.58,74,7,7
GEUP13257,15,0,2009,MULAYAM SINGH YADAV,Uttar_Pradesh,MAINPURI,SP,SP,392308,M,1,6,6,FALSE,FALSE,56.44,173069,24.9,69,7,7
GEUP13257,14,0,2004,MULAYAM SINGH YADAV,Uttar_Pradesh,MAINPURI,SP,SP,460470,M,1,5,5,FALSE,TRUE,63.96,337870,46.93,63,7,7
GEUP13257,13,0,1999,Mulayam Singh Yadav,Uttar_Pradesh,SAMBHAL,SP,SP,259430,M,1,3,3,FALSE,TRUE,41.85,115834,18.69,,7,7
GEUP13257,13,0,1999,Mulayam Singh Yadav,Uttar_Pradesh,KANNAUJ,SP,SP,291617,M,1,4,4,FALSE,TRUE,42.63,79139,11.57,,7,7
GEUP13257,12,0,1998,MULAYAM SINGH YADAV,Uttar_Pradesh,SAMBHAL,SP,SP,376828,M,1,2,2,FALSE,TRUE,50.04,166682,22.13,,7,7
GEUP13257,11,0,1996,MULAYAM SINGH YADAV,Uttar_Pradesh,MAINPURI,SP,"",273303,M,1,1,1,FALSE,FALSE,42.77,51958,8.13,,7,7
GEUP13282,17,0,2019,HARINARAYAN,Uttar_Pradesh,GHOSI,BJP,BJP,451261,M,2,2,1,FALSE,TRUE,39.56,411401,36.06,78,1,2
GEUP13282,16,0,2014,HARINARAYAN RAJBHAR,Uttar_Pradesh,GHOSI,BJP,"",379797,M,1,1,1,FALSE,FALSE,36.53,146015,14.04,73,1,2
GEUP13320,17,0,2019,RAVINDER,Uttar_Pradesh,SALEMPUR,BJP,BJP,467241,M,1,2,2,FALSE,TRUE,50.73,112477,12.21,55,2,2
GEUP13320,16,0,2014,RAVINDRA KUSHAWAHA,Uttar_Pradesh,SALEMPUR,BJP,"",392213,M,1,1,1,FALSE,FALSE,45.89,232342,27.18,50,2,2
GEUP13381,17,0,2019,KRISHNA PRATAP SINGH K.P.,Uttar_Pradesh,JAUNPUR,BJP,BJP,440192,M,2,2,1,FALSE,TRUE,42.3,413007,39.69,42,1,2
GEUP13381,16,0,2014,KRISHNA PRATAP ''''''''K.P.'''''''',Uttar_Pradesh,JAUNPUR,BJP,"",367149,M,1,1,1,FALSE,FALSE,36.45,146310,14.53,37,1,2
GEUP13426,17,0,2019,Ramcharitra Nishad,Uttar_Pradesh,MIRZAPUR,SP,BJP,359556,M,2,2,1,TRUE,TRUE,32.42,268055,24.17,54,1,2
GEUP13426,16,0,2014,RAM CHARITRA NISHAD,Uttar_Pradesh,MACHHLISHAHR,BJP,"",438210,M,1,1,1,FALSE,FALSE,43.91,172155,17.25,46,1,2
GEUP13443,17,0,2019,Bholanath (B.P. Saroj),Uttar_Pradesh,MACHHLISHAHR,BJP,BSP,488397,M,1,2,1,TRUE,FALSE,47.19,181,0.02,58,1,2
GEUP13443,16,0,2014,BHOLANATH ALIAS B.P. SAROJ,Uttar_Pradesh,MACHHLISHAHR,BSP,"",266055,M,2,1,0,FALSE,FALSE,26.66,74668,7.48,50,1,2
GEUP13596,17,0,2019,Dr. Mahendra Nath Pandey,Uttar_Pradesh,CHANDAULI,BJP,BJP,510733,M,1,3,2,FALSE,TRUE,47.07,13959,1.29,62,2,3
GEUP13596,16,0,2014,DR MAHENDRA NATH PANDEY,Uttar_Pradesh,CHANDAULI,BJP,BJP,414135,M,1,2,1,FALSE,FALSE,42.23,156756,15.99,57,2,3
GEUP13596,15,0,2009,DR. MAHENDRA NATH PANDEY,Uttar_Pradesh,BHADOHI,BJP,"",57672,M,5,1,0,FALSE,FALSE,8.76,43448,6.6,52,2,3
GEUP13642,17,0,2019,Anupriya Singh Patel,Uttar_Pradesh,MIRZAPUR,ADS,AD,591564,F,1,2,2,TRUE,TRUE,53.34,232008,20.92,37,2,2
GEUP13642,16,0,2014,ANUPRIYA SINGH PATEL,Uttar_Pradesh,MIRZAPUR,AD,"",436536,F,1,1,1,FALSE,FALSE,43.32,219079,21.74,33,2,2
GEUP14861,17,0,2019,AKSHAIBAR LAL,Uttar_Pradesh,BAHRAICH,BJP,BJP,525982,M,1,2,1,FALSE,FALSE,53.14,128752,13.01,73,1,2
GEUP14861,15,0,2009,AKSHAYBAR LAL,Uttar_Pradesh,BAHRAICH,BJP,"",71492,M,4,1,0,FALSE,FALSE,13.94,59428,11.59,63,1,2
GEUP14867,17,0,2019,SAVITRI BAI PHULE,Uttar_Pradesh,BAHRAICH,INC,BJP,34454,F,3,2,1,TRUE,TRUE,3.48,21265,2.15,38,1,2
GEUP14867,16,0,2014,SADHVI SAVITRI BAI FOOLE,Uttar_Pradesh,BAHRAICH,BJP,"",432392,F,1,1,1,FALSE,FALSE,46.28,95645,10.24,33,1,2
GEUP15874,17,0,2019,Dr. MAHESH SHARMA,Uttar_Pradesh,GAUTAM BUDDHA NAGAR,BJP,BJP,830812,M,1,2,2,FALSE,TRUE,59.64,336922,24.19,59,2,2
GEUP15874,16,0,2014,DR.MAHESH  SHARMA,Uttar_Pradesh,GAUTAM BUDDHA NAGAR,BJP,"",599702,M,1,1,1,FALSE,FALSE,50.01,280212,23.37,54,2,2
GEUP33320,17,0,2019,SANTOSH KUMAR GANGWAR,Uttar_Pradesh,BAREILLY,BJP,BJP,565270,M,1,10,8,FALSE,TRUE,52.91,167282,15.66,70,8,10
GEUP33320,16,0,2014,SANTOSH KUMAR GANGWAR,Uttar_Pradesh,BAREILLY,BJP,BJP,518258,M,1,9,7,FALSE,FALSE,50.91,240685,23.65,64,8,10
GEUP33320,15,0,2009,SANTOSH GANGWAR,Uttar_Pradesh,BAREILLY,BJP,BJP,211638,M,2,8,6,FALSE,TRUE,29.99,29642,4.2,59,8,10
GEUP33320,14,0,2004,SANTOSH GANGWAR,Uttar_Pradesh,BAREILLY,BJP,BJP,269651,M,1,7,6,FALSE,TRUE,32.77,59644,7.25,54,8,10
GEUP33320,13,0,1999,Santosh Gangwar,Uttar_Pradesh,BAREILLY,BJP,BJP,292813,M,1,6,5,FALSE,TRUE,44.67,134700,20.55,,8,10
GEUP33320,12,0,1998,SANTOSH KUMAR GANGWAR,Uttar_Pradesh,BAREILLY,BJP,BJP,314480,M,1,5,4,FALSE,TRUE,46.24,32440,4.77,,8,10
GEUP33320,11,0,1996,SANTOSH KUMAR GANGWAR,Uttar_Pradesh,BAREILLY,BJP,BJP,225285,M,1,4,3,FALSE,TRUE,41.94,39092,7.28,,8,10
GEUP33320,10,0,1991,SANTOSH KUMAR GANGWAR,Uttar_Pradesh,BAREILLY,BJP,BJP,232018,M,1,3,2,FALSE,TRUE,47.95,37746,7.8,,8,10
GEUP33320,9,0,1989,SANTOSH KUMAR GANGWAR,Uttar_Pradesh,BAREILLY,BJP,BJP,159502,M,1,2,1,FALSE,FALSE,38.16,43165,10.33,,8,10
